Current Pose: X: -3.50999, Y: -10.1571, Z: 0.178965, Yaw: 1.95193, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75499, Y: 5.07854, Z: -0.0894826, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 3.50999, Y: 10.1571, Z: -0.178965, 
Current Pose: X: -3.50994, Y: -10.1571, Z: 0.178962, Yaw: 1.95204, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75497, Y: 5.07854, Z: -0.0894809, Velocity_in: X: -0.000936363, Y: 0.000565392, Z: 0.0122786, Error: X: 3.50994, Y: 10.1571, Z: -0.178962, 
Current Pose: X: -3.50986, Y: -10.1571, Z: 0.178904, Yaw: 1.95218, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75493, Y: 5.07854, Z: -0.0894518, Velocity_in: X: -0.000705555, Y: 0.0006574, Z: 0.0124678, Error: X: 3.50986, Y: 10.1571, Z: -0.178904, 
Current Pose: X: -3.50978, Y: -10.1571, Z: 0.17869, Yaw: 1.95222, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75489, Y: 5.07854, Z: -0.0893449, Velocity_in: X: -0.00087742, Y: 0.000198678, Z: 0.0126662, Error: X: 3.50978, Y: 10.1571, Z: -0.17869, 
Current Pose: X: -3.50971, Y: -10.1571, Z: 0.178431, Yaw: 1.95238, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75485, Y: 5.07853, Z: -0.0892155, Velocity_in: X: -0.000772453, Y: 0.00032718, Z: 0.0127683, Error: X: 3.50971, Y: 10.1571, Z: -0.178431, 
Current Pose: X: -3.50964, Y: -10.1571, Z: 0.178282, Yaw: 1.95256, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75482, Y: 5.07853, Z: -0.089141, Velocity_in: X: -0.000788838, Y: -9.01729e-05, Z: 0.0129905, Error: X: 3.50964, Y: 10.1571, Z: -0.178282, 
Current Pose: X: -3.50957, Y: -10.1571, Z: 0.178171, Yaw: 1.95267, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75478, Y: 5.07855, Z: -0.0890853, Velocity_in: X: -0.000845967, Y: 4.38452e-05, Z: 0.0128577, Error: X: 3.50957, Y: 10.1571, Z: -0.178171, 
Current Pose: X: -3.50949, Y: -10.1571, Z: 0.178109, Yaw: 1.95282, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75475, Y: 5.07857, Z: -0.0890544, Velocity_in: X: -0.00134324, Y: 0.000283473, Z: 0.0129502, Error: X: 3.50949, Y: 10.1571, Z: -0.178109, 
Current Pose: X: -3.50943, Y: -10.1572, Z: 0.178144, Yaw: 1.95297, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75471, Y: 5.0786, Z: -0.0890722, Velocity_in: X: -0.00189363, Y: 0.00024404, Z: 0.0129804, Error: X: 3.50943, Y: 10.1572, Z: -0.178144, 
Current Pose: X: -3.50934, Y: -10.1573, Z: 0.178083, Yaw: 1.95304, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75467, Y: 5.07863, Z: -0.0890414, Velocity_in: X: -0.00186809, Y: 7.75948e-05, Z: 0.0131637, Error: X: 3.50934, Y: 10.1573, Z: -0.178083, 
Current Pose: X: -3.50927, Y: -10.1573, Z: 0.177715, Yaw: 1.95316, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 1.75464, Y: 5.07866, Z: -0.0888575, Velocity_in: X: -0.00220351, Y: -6.1077e-05, Z: 0.0129685, Error: X: 3.50927, Y: 10.1573, Z: -0.177715, 
